Address,Name,Gender,Age,Latitude,Longitude
"715 Creekside WAY Roswell, GA 30076",Jamie Buchanan,male,17,34.02788816816997,-84.33051479110894
"300 Creekside WAY Roswell, GA 30076",Marceline Church,female,28,34.02568201760621,-84.32927139395584
"1400 Creekside WAY Roswell, GA 30076",Stacy Byrd,male,58,34.027242936859146,-84.32954555754934
"200 Creekside WAY Roswell, GA 30076",Dante West,male,22,34.02603078993124,-84.32987743631408
"214 Chads Ford WAY Roswell, GA 30076",Roman Cain,male,40,34.027539098794016,-84.32208813907306
"213 Chads Ford WAY Roswell, GA 30076",Shayne Jarvis,female,28,34.026470725787895,-84.32205371678816
"534 Creekside WAY Roswell, GA 30076",Gregorio Becker,male,46,34.026138356351765,-84.32914989792889
"116 Creekside WAY Roswell, GA 30076",Hung Fuentes,male,46,34.026372615288466,-84.3294023888502
"233 Creekside WAY Roswell, GA 30076",Johnny Ewing,male,24,34.025798541474984,-84.32979490222526
"1100 Creekside WAY Roswell, GA 30076",Anderson Richard,male,29,34.02767274373395,-84.33070067946656
"1000 Creekside WAY Roswell, GA 30076",Roderick Solis,male,69,34.02832038909127,-84.33081512715529
"824 Creekside WAY Roswell, GA 30076",Dana Bender,male,30,34.02794967793734,-84.3306278869983
"639 Creekside WAY Roswell, GA 30076",Sol Gonzales,female,9,34.0274675387203,-84.32962890568234
"236 Chads Ford WAY Roswell, GA 30076",Chad Alston,male,50,34.02816529447746,-84.3223228831726
"425 Creekside WAY Roswell, GA 30076",Herschel Collins,male,34,34.025920283196605,-84.32915434840145
"1228 Creekside WAY Roswell, GA 30076",Lucas Shannon,male,57,34.027365551113526,-84.33013695078223
"229 Chads Ford WAY Roswell, GA 30076",Mozella Hobbs,female,9,34.02794100666511,-84.32223922479669
"927 Creekside WAY Roswell, GA 30076",Dorathy Long,female,44,34.02886299608167,-84.33077318552256
"111 Creekside WAY Roswell, GA 30076",Jama Clark,female,13,34.02638095339001,-84.32936676241637
"600 Creekside WAY Roswell, GA 30076",Nicky Taylor,female,47,34.0273748865158,-84.32964681797894
"267 Chads Ford WAY Roswell, GA 30076",Olen Fleming,male,51,34.02779953389149,-84.32215920566985
"1339 Creekside WAY Roswell, GA 30076",Lemuel Lott,male,60,34.02724475087626,-84.32960360609688
"134 Creekside WAY Roswell, GA 30076",Argentina Barker,female,37,34.026342598122945,-84.32953064401201
"104 Creekside WAY Roswell, GA 30076",Kermit Bird,male,31,34.02639262673216,-84.329316885409
"400 Creekside WAY Roswell, GA 30076",Wilburn Holcomb,male,28,34.02587143631568,-84.32915506368433
"124 Creekside WAY Roswell, GA 30076",Ethyl Munoz,female,50,34.02635927432602,-84.32945939114434
"123 Creekside WAY Roswell, GA 30076",Woodrow Leach,male,69,34.02636094194632,-84.32945226585757
"119 Creekside WAY Roswell, GA 30076",Genie Rush,female,27,34.026367612427556,-84.3294237647105
"240 Chads Ford WAY Roswell, GA 30076",Major Tucker,male,29,34.0282473208494,-84.32230376216155
"1200 Creekside WAY Roswell, GA 30076",Emelia Middleton,female,48,34.027426479720674,-84.33025880799651
"252 Chads Ford WAY Roswell, GA 30076",Quiana Church,female,48,34.02861096670316,-84.32213712075122
"207 Chads Ford WAY Roswell, GA 30076",Isaac Mason,male,65,34.026377022167075,-84.32200847832131
"1036 Creekside WAY Roswell, GA 30076",Marylouise York,female,50,34.02815443770884,-84.33075598292375
"270 Chads Ford WAY Roswell, GA 30076",Antoine Walters,male,43,34.02784195973128,-84.32231372847725
"204 Chads Ford WAY Roswell, GA 30076",Mendy Lamb,female,31,34.02717973743441,-84.3218437660567
"800 Creekside WAY Roswell, GA 30076",Apolonia Rutledge,female,22,34.027822010024906,-84.33063320649468
