Address,Name,Gender,Age,Average Dollar,Coordinates,Latitude,Longitude
"824 Creekside WAY Roswell, GA 30076",Newton Powers,male,53,231,,,
"534 Creekside WAY Roswell, GA 30076",Magen Monroe,female,34,653,,,
"200 Creekside WAY Roswell, GA 30076",Oscar Rodriguez,male,26,532,,,
"208 Chads Ford WAY Roswell, GA 30076",Kirstie Barr,female,13,95,,,
"927 Creekside WAY Roswell, GA 30076",Jonas Gibbs,male,43,412,,,
"1400 Creekside WAY Roswell, GA 30076",Myron Duffy,male,17,376,,,
"400 Creekside WAY Roswell, GA 30076",Crysta Fischer,female,20,514,,,
"233 Creekside WAY Roswell, GA 30076",Delsie Fowler,female,27,222,,,
"250 Chads Ford WAY Roswell, GA 30076",Macy Whitley,female,5,556,,,
"600 Creekside WAY Roswell, GA 30076",Pasquale Rosales,male,67,132,,,
"252 Chads Ford WAY Roswell, GA 30076",Scott Beasley,male,38,167,,,
"500 Creekside WAY Roswell, GA 30076",Saul O'neill,male,30,159,,,
"715 Creekside WAY Roswell, GA 30076",Werner Shields,male,55,379,,,
"135 Creekside WAY Roswell, GA 30076",Raleigh Herrera,male,9,176,,,
"1200 Creekside WAY Roswell, GA 30076",Darlena Brady,female,39,182,,,
"425 Creekside WAY Roswell, GA 30076",Jamee Cline,female,39,449,,,
"1100 Creekside WAY Roswell, GA 30076",Andera Sawyer,female,55,544,,,
"129 Creekside WAY Roswell, GA 30076",Winter Charles,female,38,404,,,
"1000 Creekside WAY Roswell, GA 30076",David Padilla,male,55,695,,,
"128 Creekside WAY Roswell, GA 30076",Efrain Stuart,male,51,319,,,
"1300 Creekside WAY Roswell, GA 30076",Aaron Guthrie,female,22,289,,,
"300 Creekside WAY Roswell, GA 30076",Henry Cantrell,male,63,338,,,
"253 Chads Ford WAY Roswell, GA 30076",Amado Greene,male,66,369,,,
"639 Creekside WAY Roswell, GA 30076",Nida Anthony,female,12,204,,,
"259 Chads Ford WAY Roswell, GA 30076",Enoch Ingram,male,24,287,,,
"1036 Creekside WAY Roswell, GA 30076",Dusty Cobb,male,33,664,,,
"1339 Creekside WAY Roswell, GA 30076",Dominic Kemp,male,63,883,,,
"248 Chads Ford WAY Roswell, GA 30076",Reginia Keith,female,20,518,,,
"800 Creekside WAY Roswell, GA 30076",Jerrold Moss,male,66,313,,,
"144 Creekside WAY Roswell, GA 30076",Katharyn Blair,female,14,482,,,
"204 Chads Ford WAY Roswell, GA 30076",Amado Hicks,male,50,579,,,
"1228 Creekside WAY Roswell, GA 30076",Denisse Williamson,female,16,385,,,
"113 Creekside WAY Roswell, GA 30076",Kevin Beach,female,51,290,,,
"258 Chads Ford WAY Roswell, GA 30076",Kathe Mejia,female,50,219,,,
"305 Lakeview RDG  W Roswell, GA 30076",Billie Parker,male,59,195,,,
"1300 Harbor LNDG Roswell, GA 30076",Marvella Potts,female,50,427,,,
"228 Lakeview RDG  E Roswell, GA 30076",Sal Snyder,male,58,528,,,
"608 Cruise CT Roswell, GA 30076",Lynna Hardin,female,42,163,,,
"2315 Harbor LNDG Roswell, GA 30076",Fidelia Livingston,female,20,325,,,
"206 Softwood CIR Roswell, GA 30076",Ozell Johnston,female,16,70,,,
"213 Softwood CIR Roswell, GA 30076",Yuri Frost,female,60,249,,,
"109 Softwood CIR Roswell, GA 30076",Hiram Fernandez,male,29,737,,,
"440 Cruise CT Roswell, GA 30076",Billie Sosa,male,10,273,,,
"223 Lakeview RDG  E Roswell, GA 30076",Rex Bartlett,male,60,319,,,
"100 Lace Wing CT Roswell, GA 30076",Caterina Hendrix,female,21,161,,,
"100 Floss Flower CT Roswell, GA 30076",Bret Stanley,male,35,398,,,
"112 Lakeview RDG  E Roswell, GA 30076",Ivory Butler,male,14,144,,,
"116 Cruise CT Roswell, GA 30076",Un Joyner,female,31,496,,,
"2105 Harbor LNDG Roswell, GA 30076",Quinton Huff,male,17,646,,,
"340 Sea Holly CIR Roswell, GA 30076",Joye Thornton,female,12,129,,,
"1603 Harbor LNDG Roswell, GA 30076",Cristobal Collins,male,25,264,,,
"333 Lakeview RDG  E Roswell, GA 30076",Dirk Chavez,male,53,995,,,
"2500 Harbor LNDG Roswell, GA 30076",Lorita Rush,female,30,433,,,
"133 Softwood CIR Roswell, GA 30076",Isreal Chase,male,27,287,,,
"216 Lakeview RDG  E Roswell, GA 30076",Harold Pruitt,male,37,595,,,
"647 Cruise CT Roswell, GA 30076",Bernard Shannon,male,52,85,,,
"200 Twinspur CT Roswell, GA 30076",Hassan Singleton,male,34,727,,,
"128 Windward LN Roswell, GA 30076",Lindsay Chambers,male,14,133,,,
"212 Lakeview RDG  E Roswell, GA 30076",Wesley Fox,female,58,434,,,
"700 Harbor LNDG Roswell, GA 30076",Numbers Glenn,male,50,609,,,
"100 Sun Moss CT Roswell, GA 30076",Herman Thomas,male,35,239,,,
"116 Leeward LN Roswell, GA 30076",Jesus Gilmore,male,16,112,,,
"408 Cruise CT Roswell, GA 30076",Garret Scott,male,33,731,,,
"224 Lakeview RDG  E Roswell, GA 30076",Farah Wynn,female,52,975,,,
"800 Harbor LNDG Roswell, GA 30076",Sherise Sutton,female,56,375,,,
"1400 Harbor LNDG Roswell, GA 30076",Bennett Guzman,male,52,426,,,
"907 Harbor LNDG Roswell, GA 30076",Royce Dotson,male,10,733,,,
"1205 Harbor LNDG Roswell, GA 30076",Reanna Arnold,female,39,427,,,
"110 Truehedge TRCE Roswell, GA 30076",Carmina Beasley,female,30,344,,,
"107 Lakeview RDG  W Roswell, GA 30076",Giuseppina Brown,female,28,739,,,
"1700 Harbor LNDG Roswell, GA 30076",Lavenia Lott,female,23,1035,,,
"136 Lakeview RDG  W Roswell, GA 30076",Kerry Lucas,male,30,620,,,
"218 Softwood CIR Roswell, GA 30076",Marquitta Burgess,female,68,388,,,
"2200 Harbor LNDG Roswell, GA 30076",Genie Hancock,female,46,259,,,
"101 Southwind CIR Roswell, GA 30076",Lore Carver,female,57,269,,,
"245 Southwind CIR Roswell, GA 30076",Ali Jenkins,male,49,709,,,
"119 Softwood CIR Roswell, GA 30076",Billy Brown,male,69,314,,,
"248 Sea Holly CIR Roswell, GA 30076",Stan Bush,male,46,486,,,
"122 Starboard PT Roswell, GA 30076",Shaun Cervantes,male,56,344,,,
"100 Harbor LNDG Roswell, GA 30076",Percy Franco,male,47,487,,,
"286 Truehedge TRCE Roswell, GA 30076",Ngan James,female,67,564,,,
"248 Cruise CT Roswell, GA 30076",Lino Shelton,male,44,636,,,
"140 Twinspur Close Roswell, GA 30076",Brock Hinton,male,44,308,,,
"115 Lakeview RDG  W Roswell, GA 30076",Miguel Hutchinson,male,14,489,,,
"609 Harbor LNDG Roswell, GA 30076",Giuseppina Wright,female,42,220,,,
"202 Softwood CIR Roswell, GA 30076",Vincent Mcmahon,male,49,529,,,
"120 Southwind CIR Roswell, GA 30076",Dennis Lancaster,male,41,41,,,
"332 Sea Holly CIR Roswell, GA 30076",Ardath Cervantes,female,25,763,,,
"145 Sea Holly CIR Roswell, GA 30076",Hung Walters,male,63,415,,,
"231 Leeward LN Roswell, GA 30076",Kiley Osborne,female,30,116,,,
"345 Southwind CIR Roswell, GA 30076",Tinisha Travis,female,51,321,,,
"203 Leeward LN Roswell, GA 30076",Shyla Thomas,female,20,57,,,
"113 Twinspur Close Roswell, GA 30076",Boyd Wallace,male,33,409,,,
"1000 Harbor LNDG Roswell, GA 30076",Verline Kim,female,47,59,,,
"200 Harbor LNDG Roswell, GA 30076",Dagmar Sanford,female,33,408,,,
"130 Twinspur Close Roswell, GA 30076",Shirley Horton,male,63,208,,,
"132 Starboard PT Roswell, GA 30076",Nicky Delgado,female,35,373,,,
"114 Truehedge TRCE Roswell, GA 30076",Avery Carney,female,18,92,,,
"319 Lakeview RDG  E Roswell, GA 30076",Curt Brooks,male,11,249,,,
"238 Leeward LN Roswell, GA 30076",Keira Cannon,female,15,280,,,
"247 Lakeview RDG  W Roswell, GA 30076",Ellis Garrett,female,60,192,,,
"167 Truehedge TRCE Roswell, GA 30076",Song Kerr,female,12,286,,,
"224 Truehedge TRCE Roswell, GA 30076",Rhona Marks,female,48,47,,,
"124 Leeward LN Roswell, GA 30076",Clora Daniels,female,9,499,,,
"223 Softwood CIR Roswell, GA 30076",Trinh Luna,female,17,531,,,
"319 Lakeview RDG  W Roswell, GA 30076",Margarito Dalton,male,30,527,,,
"213 Lakeview RDG  E Roswell, GA 30076",Jeffrey White,male,53,311,,,
"248 Lakeview RDG  W Roswell, GA 30076",Mariella French,female,60,193,,,
"210 Leeward LN Roswell, GA 30076",Corie Alford,female,54,230,,,
"331 Sea Holly CIR Roswell, GA 30076",Adaline Cunningham,female,37,380,,,
"339 Southwind CIR Roswell, GA 30076",Melany Stanley,female,63,383,,,
"117 Starboard PT Roswell, GA 30076",Caleb Holland,male,41,289,,,
"311 Harbor LNDG Roswell, GA 30076",Jackson Rivas,male,54,174,,,
"217 Cruise CT Roswell, GA 30076",Stephen Burke,female,52,208,,,
"136 Softwood CIR Roswell, GA 30076",Thomasine Bird,female,65,332,,,
"500 Harbor LNDG Roswell, GA 30076",Frankie Patton,male,6,799,,,
"120 Twinspur Close Roswell, GA 30076",Velvet Atkinson,female,61,852,,,
"142 Lakeview RDG  W Roswell, GA 30076",Vance Rosa,male,35,49,,,
"307 Sea Holly CIR Roswell, GA 30076",Xochitl Joseph,female,53,468,,,
"208 Truehedge TRCE Roswell, GA 30076",Scot Maxwell,male,24,366,,,
"900 Harbor LNDG Roswell, GA 30076",Nyla Christian,female,24,328,,,
"410 Cruise CT Roswell, GA 30076",Claris Palmer,female,37,396,,,
