ID,Address,Name,Gender,Age,Average Dollar,Latitude,Longitude
0,"824 Creekside WAY Roswell, GA 30076",Newton Powers,male,53,231,34.0279496779,-84.330627887
1,"534 Creekside WAY Roswell, GA 30076",Magen Monroe,female,34,653,34.0261383564,-84.3291498979
2,"200 Creekside WAY Roswell, GA 30076",Oscar Rodriguez,male,26,532,34.0260307899,-84.3298774363
3,"208 Chads Ford WAY Roswell, GA 30076",Kirstie Barr,female,13,95,34.0273510733,-84.3219466901
4,"927 Creekside WAY Roswell, GA 30076",Jonas Gibbs,male,43,412,34.0288629961,-84.3307731855
5,"1400 Creekside WAY Roswell, GA 30076",Myron Duffy,male,17,376,34.0272429369,-84.3295455575
6,"400 Creekside WAY Roswell, GA 30076",Crysta Fischer,female,20,514,34.0258714363,-84.3291550637
7,"233 Creekside WAY Roswell, GA 30076",Delsie Fowler,female,27,222,34.0257985415,-84.3297949022
8,"250 Chads Ford WAY Roswell, GA 30076",Macy Whitley,female,5,556,34.0285659667,-84.3221686208
9,"600 Creekside WAY Roswell, GA 30076",Pasquale Rosales,male,67,132,34.0273748865,-84.329646818
10,"252 Chads Ford WAY Roswell, GA 30076",Scott Beasley,male,38,167,34.0286109667,-84.3221371208
11,"500 Creekside WAY Roswell, GA 30076",Saul O'neill,male,30,159,34.0260703335,-84.3291512861
12,"715 Creekside WAY Roswell, GA 30076",Werner Shields,male,55,379,34.0278881682,-84.3305147911
13,"135 Creekside WAY Roswell, GA 30076",Raleigh Herrera,male,9,176,34.0263409305,-84.3295377693
14,"1200 Creekside WAY Roswell, GA 30076",Darlena Brady,female,39,182,34.0274264797,-84.330258808
15,"425 Creekside WAY Roswell, GA 30076",Jamee Cline,female,39,449,34.0259202832,-84.3291543484
16,"1100 Creekside WAY Roswell, GA 30076",Andera Sawyer,female,55,544,34.0276727437,-84.3307006795
17,"129 Creekside WAY Roswell, GA 30076",Winter Charles,female,38,404,34.0263509362,-84.3294950176
18,"1000 Creekside WAY Roswell, GA 30076",David Padilla,male,55,695,34.0283203891,-84.3308151272
19,"128 Creekside WAY Roswell, GA 30076",Efrain Stuart,male,51,319,34.0263526038,-84.3294878923
20,"1300 Creekside WAY Roswell, GA 30076",Aaron Guthrie,female,22,289,34.0272459107,-84.3296407191
21,"300 Creekside WAY Roswell, GA 30076",Henry Cantrell,male,63,338,34.0256820176,-84.329271394
22,"253 Chads Ford WAY Roswell, GA 30076",Amado Greene,male,66,369,34.0274778653,-84.3219355926
23,"639 Creekside WAY Roswell, GA 30076",Nida Anthony,female,12,204,34.0274675387,-84.3296289057
24,"259 Chads Ford WAY Roswell, GA 30076",Enoch Ingram,male,24,287,34.0276164065,-84.3220323326
25,"1036 Creekside WAY Roswell, GA 30076",Dusty Cobb,male,33,664,34.0281544377,-84.3307559829
